"Bed Length","Activity","Bed Temp","Bed Temp 1stD"," Bed Temp 2ndD","Conc A","Conc B","Conc C"
0.0000,1.0000,"activity('1')","#N/A","#N/A",1.0000,0.0000,0.0000
0.0042,0.5000,1.0049,1.1712,-4.5969,0.9862,0.0069,0.0069
0.0125,0.5000,1.0145,1.1333,-4.4898,0.9591,0.0204,0.0204
0.0167,0.5000,1.0192,1.1148,-4.4366,0.9459,0.0271,0.0271
0.0250,0.5000,1.0283,1.0782,-4.3308,0.9199,0.0401,0.0401
0.0292,0.5000,1.0328,1.0603,-4.2783,0.9071,0.0464,0.0464
0.0375,0.5000,1.0415,1.0251,-4.1742,0.8821,0.0589,0.0589
0.0417,0.5000,1.0457,1.0078,-4.1227,0.8699,0.0651,0.0651
0.0500,0.5000,1.0540,0.9739,-4.0205,0.8458,0.0771,0.0771
0.0542,0.5000,1.0580,0.9572,-3.9699,0.8341,0.0830,0.0830
0.0625,0.5000,1.0658,0.9245,-3.8699,0.8110,0.0945,0.0945
0.0667,0.5000,1.0697,0.9085,-3.8204,0.7997,0.1002,0.1002
0.0750,0.5000,1.0771,0.8771,-3.7226,0.7775,0.1112,0.1112
0.0792,0.5000,1.0807,0.8617,-3.6744,0.7667,0.1167,0.1167
0.0875,0.5000,1.0878,0.8315,-3.5790,0.7454,0.1273,0.1273
0.0917,0.5000,1.0912,0.8167,-3.5320,0.7349,0.1325,0.1325
0.1000,0.5000,1.0979,0.7876,-3.4392,0.7145,0.1427,0.1427
0.1042,0.5000,1.1011,0.7734,-3.3934,0.7045,0.1477,0.1477
0.1125,0.5000,1.1075,0.7455,-3.3032,0.6849,0.1576,0.1576
0.1167,0.5000,1.1105,0.7318,-3.2588,0.6753,0.1624,0.1624
0.1250,0.5000,1.1165,0.7050,-3.1712,0.6565,0.1718,0.1718
0.1292,0.5000,1.1194,0.6919,-3.1280,0.6472,0.1764,0.1764
0.1375,0.5000,1.1251,0.6662,-3.0431,0.6292,0.1854,0.1854
0.1417,0.5000,1.1279,0.6536,-3.0013,0.6203,0.1898,0.1898
0.1500,0.5000,1.1332,0.6289,-2.9190,0.6030,0.1985,0.1985
0.1542,0.5000,1.1358,0.6168,-2.8786,0.5945,0.2027,0.2027
0.1625,0.5000,1.1408,0.5932,-2.7989,0.5779,0.2111,0.2111
0.1667,0.5000,1.1433,0.5816,-2.7598,0.5698,0.2151,0.2151
0.1750,0.5000,1.1480,0.5589,-2.6828,0.5538,0.2231,0.2231
0.1792,0.5000,1.1503,0.5478,-2.6450,0.5460,0.2270,0.2270
0.1875,0.5000,1.1548,0.5261,-2.5706,0.5307,0.2347,0.2347
0.1917,0.5000,1.1570,0.5155,-2.5340,0.5232,0.2384,0.2384
0.2000,0.5000,1.1612,0.4946,-2.4622,0.5085,0.2457,0.2457
0.2042,0.5000,1.1632,0.4845,-2.4270,0.5014,0.2493,0.2493
0.2125,0.5000,1.1672,0.4645,-2.3577,0.4873,0.2564,0.2564
0.2167,0.5000,1.1691,0.4548,-2.3237,0.4804,0.2598,0.2598
0.2250,0.5000,1.1728,0.4357,-2.2569,0.4669,0.2665,0.2665
0.2292,0.5000,1.1746,0.4263,-2.2241,0.4603,0.2698,0.2698
0.2375,0.5000,1.1781,0.4081,-2.1597,0.4474,0.2763,0.2763
0.2417,0.5000,1.1798,0.3992,-2.1281,0.4410,0.2795,0.2795
0.2500,0.5000,1.1830,0.3817,-2.0661,0.4286,0.2857,0.2857
0.2542,0.5000,1.1846,0.3731,-2.0357,0.4226,0.2887,0.2887
0.2625,0.5000,1.1876,0.3564,-1.9760,0.4107,0.2947,0.2947
0.2667,0.5000,1.1891,0.3482,-1.9467,0.4049,0.2976,0.2976
0.2750,0.5000,1.1919,0.3323,-1.8892,0.3935,0.3033,0.3033
0.2792,0.5000,1.1933,0.3245,-1.8611,0.3879,0.3061,0.3061
0.2875,0.5000,1.1959,0.3092,-1.8058,0.3770,0.3115,0.3115
0.2917,0.5000,1.1972,0.3017,-1.7787,0.3716,0.3142,0.3142
